21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:55 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox nostopped 
21:28:56 31/10/2016 | firefox stopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% nostopped 
21:37:27 31/10/2016 | %ProgName% stopped 
21:40:17 31/10/2016 | %ProgName% nostopped 
21:40:17 31/10/2016 | %ProgName% nostopped 
21:40:17 31/10/2016 | %ProgName% stopped 
21:42:03 31/10/2016 | %ProgName% nostopped 
21:42:03 31/10/2016 | %ProgName% nostopped 
21:42:03 31/10/2016 | %ProgName% nostopped 
21:42:03 31/10/2016 | %ProgName% stopped 
21:44:40 31/10/2016 | %ProgName% nostopped 
21:44:40 31/10/2016 | %ProgName% nostopped 
21:44:40 31/10/2016 | %ProgName% stopped 
21:49:38 31/10/2016 | %ProgName% nostopped 
21:49:38 31/10/2016 | %ProgName% nostopped 
21:49:38 31/10/2016 | %ProgName% stopped 
21:54:37 31/10/2016 | %ProgName% nostopped 
21:54:37 31/10/2016 | %ProgName% stopped 
21:58:13 31/10/2016 | %ProgName% nostopped 
21:58:13 31/10/2016 | %ProgName% nostopped 
21:58:13 31/10/2016 | %ProgName% stopped 
22:00:29 31/10/2016 | %ProgName% nostopped 
22:00:29 31/10/2016 | %ProgName% nostopped 
22:00:29 31/10/2016 | %ProgName% stopped 
22:39:24 31/10/2016 | %ProgName% nostopped 
22:39:24 31/10/2016 | %ProgName% stopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox nostopped 
22:39:40 31/10/2016 | firefox stopped 
22:48:07 31/10/2016 | %ProgName% nostopped 
22:48:07 31/10/2016 | %ProgName% nostopped 
22:48:07 31/10/2016 | %ProgName% nostopped 
22:48:07 31/10/2016 | %ProgName% stopped 
22:50:20 31/10/2016 | nvda nostopped 
22:50:20 31/10/2016 | nvda nostopped 
22:50:20 31/10/2016 | nvda stopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
22:57:53 31/10/2016 | nvda nostopped 
